from_stop_id,to_stop_id,transfer_type,min_transfer_time
7137422,1888,2,225
7714391,1717,2,228
5762005,2419,2,234
7714398,140079,2,194
4009537,2253,2,251
2364,2366,2,113
7714398,140078,2,194
5018190,2469,2,254
4045017,2293,2,239
7013410,1799,2,193
5355382,1692060,2,216
3442434,1827,2,395
5355382,1692061,2,216
7275115,1874,2,188
5121372,2366,2,226
6046776,2224,2,210
7661313,2270,2,270
6748606,1717,2,213
4726915,1724,2,205
4758946,1874,2,196
3749912,2359,2,244
5158050,1662795,2,209
5158072,1656,2,201
5158050,1662796,2,209
3681989,2276,2,214
5121381,2366,2,235
4036722,1947,2,200
3813118,2253,2,210
4036829,2165,2,212
4000542,2462,2,258
5761300,2462,2,228
6000768,2224,2,255
5761301,1717,2,258
3813119,2253,2,221
7376193,2366,2,396
4211780,1874,2,187
6904256,2464,2,214
3813115,1827,2,418
3812976,1827,2,388
3893336,1724,2,187
3687105,2293,2,282
7176417,1947,2,201
7275549,1724,2,241
3764795,2469,2,186
3749690,2469,2,225
3687413,1827,2,396
4036827,1724,2,254
4000547,2461,2,225
7676436,1874,2,198
3687415,1827,2,460
7376188,1948,2,225
4016358,2469,2,242
4016031,1872,2,321
7714465,1717,2,219
4016088,1872,2,321
1826,2366,2,241
4022949,1897,2,243
3749938,1820,2,225
7676433,2214,2,185
6904256,1719,2,214
7275549,2469,2,241
4009664,1724,2,210
4472752,2202,2,200
4211812,2462,2,228
2467,1724,2,118
3764707,2203,2,181
3442433,2366,2,387
6748620,140079,2,193
3813114,1827,2,406
7647743,1741,2,203
6748620,140078,2,193
5657268,2469,2,205
3764740,1820,2,225
4016025,1872,2,260
5158059,2268,2,321
3764794,2469,2,186
3749916,2469,2,226
3716945,1724,2,215
3747809,1724,2,195
4726761,1827,2,418
3813114,2366,2,406
4037003,2366,2,254
4015691,1947,2,290
6741226,140078,2,198
4015686,1947,2,193
7647737,2426,2,237
6741226,140079,2,198
3764738,1724,2,253
3740559,2469,2,225
4472774,2469,2,227
5018190,1724,2,254
3687473,2366,2,431
5091987,1874,2,265
3926242,2325,2,267
5138160,2406,2,231
7275115,2270,2,188
3764739,1724,2,247
6456051,1662797,2,202
6456051,1662798,2,202
3740516,1724,2,254
7275665,1827,2,254
4037297,2366,2,431
4798987,1717,2,210
4016357,2325,2,267
7275119,1959,2,185
4211772,1692060,2,201
2363,1827,2,311
4211772,1692061,2,201
1662798,5121484,2,218
4015880,2202,2,239
4023032,2025,2,210
5121411,2224,2,255
4015724,1947,2,213
5762005,1741,2,234
4472762,2419,2,234
3687413,2366,2,396
4211783,1959,2,185
3764739,2469,2,247
3765153,2469,2,226
4016612,2214,2,244
7275548,1724,2,226
6217415,1724,2,210
3749912,1820,2,244
4036738,1656,2,216
3764766,2469,2,247
4472774,1724,2,227
3813055,2464,2,261
4037252,1827,2,389
7013411,2372,2,185
7676437,1874,2,265
7676433,1959,2,185
3926243,1724,2,242
5761301,2462,2,258
4036660,2469,2,254
6741644,140079,2,198
6741644,140078,2,198
4008213,1820,2,212
4045017,1897,2,239
4473147,1827,2,431
5761999,2165,2,212
3764766,1724,2,247
1662797,6448957,2,210
4036749,2469,2,235
1662797,6448956,2,210
1662797,6448958,2,218
7260974,2461,2,198
5158075,1796,2,273
4472773,2469,2,225
7376191,1827,2,252
7275119,2214,2,185
3887782,2253,2,243
3764756,2366,2,260
1880,5121769,2,217
5138025,2406,2,231
5657267,2469,2,204
3765221,1897,2,217
3749921,1796,2,250
6748607,2462,2,207
1880,5121768,2,271
3749690,1724,2,225
4473029,1827,2,229
4015686,2202,2,193
5020431,1662796,2,195
5020431,1662795,2,195
3764740,2359,2,225
7137437,1748,2,277
4036747,1724,2,226
3740333,2406,2,203
2469,2460,2,480
5121383,2366,2,258
3764786,2366,2,225
7661354,2270,2,265
5761992,2406,2,199
2467,2469,2,108
4045007,2366,2,225
4473029,2366,2,229
3926186,2366,2,241
5762016,2202,2,200
3813039,2366,2,389
6000768,1969,2,255
4008837,2469,2,252
4016346,2426,2,284
